,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9654.349413318774,[0.17702558 0.17276906 0.14845733 0.17870831 0.16716743 0.15587229],9503.836904537422,[ 2.0158273   0.04898991 -0.04689143 -0.68134196 -1.28472163  0.94813781],[ 0.00847545 -0.01503508 -0.00836517 -0.03389994 -0.02451686  0.03238609]
2,106,9780.447950899494,[0.16270659 0.16382608 0.16702769 0.162663   0.17081331 0.17296333],9358.674278882281,[ 2.02514579  0.03651524 -0.04835927 -0.68078465 -1.35496648  1.02244937],[ 0.00926262 -0.01555591 -0.00566223 -0.02714694 -0.02204481  0.01893777]
3,107,9942.098239863708,[0.16415647 0.16793446 0.15856975 0.16388218 0.17034254 0.17511461],9520.94537885621,[ 1.99326957 -0.03526575 -0.04309957 -0.574401   -1.38389586  1.04339261],[ 0.00933093 -0.01584728 -0.00276382 -0.02213538 -0.01785342  0.01414146]
4,108,9808.278994658493,[0.16301472 0.17176999 0.14098782 0.18123703 0.18019336 0.16279708],7293.641383151882,[ 2.51103466 -0.10794903 -0.04184386 -0.80449244 -1.86195282  1.3052035 ],[ 0.00919086 -0.01522352 -0.00136278 -0.01768704 -0.01246099  0.01782583]
5,109,9680.228355499139,[0.17416315 0.16817824 0.17094992 0.16348772 0.15923711 0.16398386],8087.069797267268,[ 1.88356615 -0.17834795 -0.07150569 -0.41580056 -0.97660653  0.75869459],[ 0.00782451 -0.0140307  -0.00546122 -0.01066259 -0.00524183  0.01391511]
6,110,9768.566040428843,[0.16672273 0.16638858 0.16651226 0.16988414 0.17126954 0.15922274],7595.771849620012,[ 2.22950537 -0.40054732 -0.07676448 -0.45541926 -1.0756095   0.7788352 ],[ 0.00742264 -0.0128872  -0.00848529 -0.00604151 -0.00137665  0.00625492]
7,111,9319.287433586076,[0.17734932 0.16654449 0.16324028 0.17182176 0.16456823 0.15647592],7979.996949701103,[ 2.09837503 -0.39071674 -0.10706393 -0.42635925 -0.61172395  0.43748884],[ 0.00717609 -0.01150533 -0.01060346 -0.00074117  0.00345755 -0.00452577]
8,112,9796.688741063781,[0.15954826 0.17127138 0.15659408 0.16506478 0.16365976 0.18386174],7356.120302422829,[ 1.74293242 -0.45794922 -0.11473326 -0.07399596  0.3147113  -0.41096529],[ 0.00721849 -0.01124454 -0.01426886  0.00309825  0.00494609 -0.0268413 ]
9,113,9967.276986940413,[0.16508216 0.16282217 0.16835592 0.16809056 0.16516461 0.17048458],7349.4367921290295,[ 1.40346248 -0.45568909 -0.12858247  0.24129521  0.36769549 -0.42818161],[ 0.00724531 -0.0089457  -0.01752462  0.00814419  0.0074505  -0.01882664]
10,114,10071.268035740992,[0.16586071 0.1613014  0.18941886 0.15805249 0.16838195 0.15698458],7306.836486249652,[ 1.26538235 -0.44825013 -0.22949573  0.41269404  0.37757002 -0.37790055],[ 0.00729999 -0.00694203 -0.01897343  0.01335873  0.00966865 -0.00642179]
11,115,10175.429446487977,[0.17303724 0.1615773  0.16866847 0.15946815 0.16368897 0.17355987],7475.202105137184,[ 1.22133486 -0.4292726  -0.22942509  0.45979235  0.36631046 -0.38873999],[ 0.00730821 -0.00560774 -0.01458796  0.01497541  0.01207048 -0.00500523]
12,116,10173.87997839519,[0.17242039 0.16143033 0.16049377 0.17317094 0.16664761 0.16583696],8121.160796674103,[ 1.16299976 -0.49913259 -0.20335522  0.43983494  0.38715926 -0.28750616],[ 0.00851484 -0.00481912 -0.00992761  0.01407176  0.01331332  0.00341071]
13,117,10604.242701638106,[0.16373599 0.15570893 0.15680842 0.15880524 0.16604296 0.19889847],8318.378583072476,[ 1.16278829 -0.69662593 -0.19471598  0.51418291  0.39254283 -0.17817213],[ 0.01023923 -0.00476916 -0.0072433   0.01489695  0.01392761  0.00783448]
14,118,10865.145712612006,[0.15669866 0.17146282 0.17161972 0.1636897  0.165343   0.17118611],7738.590243715999,[ 1.120543   -0.91705178 -0.1643878   0.40981913 -0.03148101  0.58255846],[ 0.01203652 -0.00520149 -0.00544982  0.01477946  0.01553909  0.03798534]
15,119,11006.521791165833,[0.16429857 0.16576975 0.1658013  0.16830531 0.16489898 0.17092609],7907.568095989639,[ 1.01246043 -0.79732762 -0.00424121  0.28456113 -0.20213559  0.70668287],[ 0.01212267 -0.00421527 -0.00201429  0.0145812   0.01698684  0.05726566]
16,120,11345.152739090092,[0.16418969 0.17107686 0.15989428 0.16330615 0.16604677 0.17548625],8166.542419519281,[ 0.98922371 -0.72361771  0.00679619  0.23316111 -0.32249638  0.81693308],[ 0.0118597  -0.00308185  0.00112717  0.01498819  0.01770735  0.06726923]
17,121,11436.997360921256,[0.16188182 0.16590362 0.18433283 0.1646644  0.16220378 0.16101355],7862.5294185202765,[ 0.98595468 -0.65380588  0.01311245  0.21491862 -0.40219887  0.84201901],[ 0.01178155 -0.00068415  0.00337087  0.01526419  0.01874513  0.07547863]
18,122,11493.142515363208,[0.16702134 0.17429949 0.18453296 0.1656681  0.16309441 0.1453837 ],6934.510922304387,[ 1.05337273 -0.74341242  0.05808119  0.24345226 -0.44851903  0.83702527],[0.01086061 0.00147892 0.0085688  0.01487852 0.01834874 0.06975507]
19,123,11402.986978951838,[0.16918027 0.17415247 0.16775177 0.16820313 0.16912881 0.15158355],6225.925294093801,[ 1.07862456 -0.78144224  0.10536112  0.27158338 -0.50309937  0.82897254],[0.01003849 0.00452215 0.01579766 0.01413399 0.01703205 0.04710746]
20,124,11439.88020007741,[0.15807154 0.16028929 0.17921751 0.16739848 0.16153856 0.17348462],6467.343598932321,[ 0.98073392 -0.72593743  0.18440393  0.26348295 -0.47100745  0.76832409],[0.00930617 0.00792073 0.02097245 0.01322877 0.01583826 0.01870128]
21,125,11929.065737268735,[0.16345576 0.16614376 0.16592463 0.15945388 0.16288445 0.18213752],6305.203054593635,[ 1.0289677  -0.77416513  0.47834053  0.26967333  0.24929584 -0.25211227],[ 0.00716044  0.00972338  0.02675204  0.01243409  0.01366016 -0.00111199]
22,126,12535.882101832163,[0.1601851  0.16494252 0.16629036 0.16624269 0.16405685 0.17828247],6289.480142721055,[ 0.81391303 -0.58900696  0.51726766  0.28342072  0.25855948 -0.28415392],"[ 5.72765287e-03  1.20100448e-02  3.16468197e-02  1.13732961e-02
  1.21692050e-02 -4.66519220e-05]"
23,127,12415.238162721289,[0.16662748 0.17124869 0.15033625 0.17393866 0.16761771 0.1702312 ],5853.159190439711,[ 0.32781637 -0.50570121  0.55856386  0.31481384  0.27676201  0.02774513],[0.0046081  0.01464659 0.03597381 0.01191323 0.01170938 0.01475863]
24,128,12593.3445554267,[0.16438628 0.17133201 0.15775128 0.16750151 0.16301611 0.17601281],5740.690004157362,[-0.04900986 -0.29992911  0.5249702   0.32727081  0.28000883  0.21668912],[0.00320034 0.01694881 0.03511408 0.01320025 0.01087349 0.02230406]
25,129,12482.202619643649,[0.16595121 0.15980464 0.16448851 0.16253645 0.15741991 0.18979928],5865.928653399937,[-0.26234707 -0.08842278  0.40190949  0.30963585  0.19952221  0.43970231],[0.00187534 0.01952368 0.0326864  0.01449955 0.00961535 0.03201559]
26,130,12426.338041581117,[0.17387666 0.1708425  0.16565445 0.16664878 0.17885544 0.14412217],5286.658717452635,[-0.3023962   0.24389936  0.26824305  0.34206781 -0.09652787  0.54471385],[0.00021464 0.01992419 0.02974703 0.01380248 0.0061899  0.04740579]
27,131,12534.335003245189,[0.15971999 0.16671464 0.16519166 0.16480648 0.17225524 0.17131198],5429.6419971561645,[-0.28468039  0.30398175  0.20787181  0.33228325 -0.09800476  0.53854835],"[3.74129544e-05 2.03756950e-02 2.67321600e-02 1.26585455e-02
 5.27020110e-03 3.71994204e-02]"
28,132,12377.62802758426,[0.16758702 0.17400101 0.16674416 0.17472489 0.16762324 0.14931968],5216.2670075920805,[-0.29426686  0.38010274  0.21379112  0.3581019  -0.15373287  0.49600398],[-0.0013348   0.0205856   0.02385623  0.01124586  0.00586351  0.03056771]
29,133,12563.06509245931,[0.15622599 0.16505078 0.1686585  0.16603104 0.16789859 0.17613511],5459.194744696611,[-0.42993054  0.78072082  0.20985249  0.34602873 -0.15022079  0.24354928],[-0.00276427  0.02106523  0.02079117  0.01100608  0.00583372  0.01082619]
30,134,12355.287801213284,[0.17458304 0.16606299 0.16944797 0.16514558 0.17128573 0.15347469],5179.932660488825,[-0.46684043  1.03971252  0.17775874  0.35542446 -0.16003659  0.0539813 ],[-0.00569924  0.02118988  0.01839379  0.01084509  0.00640445  0.00209049]
31,135,12481.974334093185,[0.16530021 0.16781764 0.16194503 0.17491385 0.16404853 0.16597474],5316.922710747833,[-0.47098734  1.03053522  0.06596461  0.36718378  0.41417332 -0.4068696 ],[-0.00705896  0.02052646  0.01595766  0.00934893  0.00699649 -0.01678378]
32,136,12830.705645342201,[0.16616621 0.16718486 0.1649416  0.16886203 0.16390352 0.16894179],5414.2687988360885,[-0.47405829  1.00715364  0.01160049  0.37557379  0.59535414 -0.51562377],[-0.00796972  0.02000294  0.01305098  0.01007875  0.00700742 -0.02994336]
33,137,12738.20285364246,[0.16735228 0.17304854 0.17080246 0.16578002 0.1664637  0.156553  ],5721.134104014493,[-0.44725129  0.96110189 -0.00199619  0.35100693  0.59946845 -0.46232978],[-0.00759169  0.01983852  0.01063499  0.01187395  0.00715206 -0.03190813]
34,138,13110.981815952255,[0.16304663 0.17375682 0.16995085 0.16598939 0.16399622 0.16326009],6155.709495155054,[-0.41859536  0.90630232 -0.00829206  0.39126589  0.66052184 -0.53120264],[-0.00731404  0.01994981  0.00872745  0.01230819  0.00671887 -0.04096581]
35,139,13268.093145636678,[0.1595438  0.168844   0.16098534 0.16815423 0.16735434 0.1751183 ],6272.718522608016,[-0.39798452  0.89040964 -0.01514328  0.44053478  0.68253833 -0.60035495],[-0.00673757  0.02107532  0.00823823  0.01315262  0.00658022 -0.04313391]
36,140,13429.321777166282,[0.16421371 0.17633975 0.16278726 0.16656411 0.16319433 0.16690083],6619.485407088749,[-0.37614881  0.90018452 -0.02411361  0.42232396  0.64108588 -0.56333194],[-0.00727614  0.02209168  0.00689117  0.01412841  0.00680064 -0.03251639]
37,141,13195.32845365694,[0.17205309 0.15971308 0.1745993  0.17141284 0.17064887 0.15157282],6676.078685826002,[-0.44703993  0.840495   -0.02611721  0.49105976  0.63956213 -0.49795975],[-0.00767325  0.02386217  0.00518387  0.01482328  0.00642429 -0.0212893 ]
38,142,13390.808968712752,[0.16345413 0.17945248 0.16390385 0.16234523 0.15872573 0.17211858],6833.556308347408,[-0.45820282  0.89741444 -0.02546974  0.57039894  0.60400219 -0.58814301],[-0.00736384  0.02368175  0.00441975  0.01524638  0.00610543 -0.02637626]
39,143,13793.260879758393,[0.15858663 0.16221792 0.16449757 0.16598717 0.16807115 0.18063956],6726.901179515407,[-0.4629667   0.90515077 -0.04736856  0.59453227  0.63746138 -0.62680916],[-0.00712606  0.02480582  0.00353234  0.0146468   0.00445243 -0.02132585]
40,144,14053.300122628973,[0.16452399 0.16065023 0.17052852 0.17251234 0.16542805 0.16635687],6782.679594331143,[-0.61998425  0.88590791 -0.04898129  0.62192589  0.63944925 -0.47831751],[-0.00744882  0.02530166  0.00313627  0.01460987  0.00426444 -0.00152291]
41,145,14516.790014560895,[0.15727346 0.16252753 0.1842211  0.16443542 0.1615147  0.17002779],6884.668431017643,[-0.72942176  0.88430586 -0.05510278  0.62450783  0.54731868 -0.27160783],[-0.00736315  0.0249066   0.00393878  0.0160368   0.00434105  0.01371351]
42,146,14275.763471041046,[0.16489372 0.17342573 0.17475918 0.16729263 0.16663667 0.15299207],7060.833718082483,[-0.64037006  0.8811071  -0.05541295  0.60119093  0.24555292 -0.03206794],[-0.00797549  0.02428191  0.00851644  0.01727267  0.00426216  0.02888774]
43,147,14199.486098309984,[0.1646179  0.16949641 0.1675841  0.16446461 0.17053317 0.16330381],7150.16537014467,[-0.634046    0.88028004 -0.05251637  0.58279596  0.19346273  0.03002365],[-0.00921146  0.02376184  0.01244303  0.01718432  0.00343018  0.02415008]
44,148,14336.235737005798,[0.16715434 0.16131952 0.17306427 0.16764912 0.17192079 0.15889196],7052.800750538265,[-0.68685088  0.87218593 -0.01900927  0.60009375  0.20428053  0.02929994],[-0.01062898  0.02311885  0.01506321  0.01588193  0.0032361   0.01662989]
45,149,14340.553653200132,[0.16871638 0.16917274 0.17178927 0.161115   0.16677687 0.16242973],6963.213821611402,[-0.7106939   0.90376668  0.05703147  0.58782236  0.20713516 -0.04506176],[-0.01115567  0.02175926  0.01795983  0.01486465  0.00440097  0.00635614]
46,150,14380.142049820552,[0.16531352 0.16462721 0.17774119 0.15775242 0.16693183 0.16763382],6745.509494684955,[-0.72975493  0.92415327  0.08423531  0.57598107  0.36890841 -0.22352313],[-0.01090121  0.02048108  0.02057342  0.01236312  0.00517768 -0.00404432]
47,151,14435.55098637635,[0.16546025 0.16818487 0.16761222 0.1609879  0.16642462 0.17133014],6661.136553484035,[-0.730988    0.90166789  0.08612737  0.56564343  0.49670517 -0.31915586],[-0.01060897  0.01880273  0.02383617  0.00809482  0.0057604  -0.0102552 ]
48,152,14654.625546397328,[0.16576086 0.16929584 0.16690554 0.17353519 0.16736849 0.15713409],7161.361226695859,[-0.68654429  0.85356053  0.08461406  0.49834108  0.53417986 -0.28415124],[-0.01021452  0.01719294  0.02608005  0.0030211   0.00611157 -0.01008377]
49,153,14931.0531721581,[0.16691349 0.1659016  0.16198325 0.16616431 0.16550156 0.1735358 ],7054.5136806395385,[-0.71121493  0.87887231  0.13374807  0.41590346  0.71220147 -0.42951038],[-0.00929033  0.01607037  0.02764781  0.00048821  0.00685699 -0.01458277]
50,154,15540.790719564855,[0.15993618 0.17925902 0.1708583  0.16738463 0.15945845 0.16310342],7831.288840319696,[-0.6399502   0.84114679  0.12856484  0.28560843  0.77875637 -0.39412623],[-0.00757278  0.01505246  0.0279825  -0.00109176  0.00763236 -0.00911244]
51,155,16051.14716065461,[0.16045846 0.18213726 0.16248262 0.16119165 0.16051204 0.17321797],8453.892877983191,[-0.5895838   0.87964476  0.14847369  0.23574137  0.71770498 -0.39198099],[-0.00595566  0.01666867  0.02918569 -0.00041881  0.00786201 -0.0024769 ]
52,156,16473.120854553646,[0.16822294 0.16954725 0.16508917 0.16650287 0.16678047 0.1638573 ],8760.38504694857,[-0.58949599  0.88643758  0.18093534  0.0043292   0.71144486 -0.19365098],[-0.00460119  0.02012396  0.02959974 -0.00011124  0.00761757  0.01059528]
