,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
0,104,10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],10000.0,[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714],
1,105,9654.349413318774,[0.17702558 0.17276906 0.14845733 0.17870831 0.16716743 0.15587229],10326.440196788026,[ 1.92227404  0.16152436 -0.14704546  0.09268386 -1.7433052   0.71386841],[ 0.00514643 -0.00853452 -0.01832819 -0.01039865 -0.0197081   0.00694294]
2,106,9780.447950899494,[0.16270659 0.16382608 0.16702769 0.162663   0.17081331 0.17296333],9804.522455723767,[ 2.00289332  0.14773854 -0.15728144  0.03282116 -2.01296039  0.98678881],[ 0.00555522 -0.00913834 -0.01700899 -0.01001996 -0.01931619  0.00702082]
3,107,9942.098239863708,[0.16415647 0.16793446 0.15856975 0.16388218 0.17034254 0.17511461],9807.418279709655,[ 1.94347098  0.04612903 -0.12198704 -0.03181546 -1.84849161  1.01269409],[ 0.00573362 -0.00975737 -0.01568421 -0.00988609 -0.01770799  0.01007062]
4,108,9808.278994658493,[0.16301472 0.17176999 0.14098782 0.18123703 0.18019336 0.16279708],7774.382305146835,[ 2.34119722  0.01023066 -0.12351145 -0.1031786  -2.34863493  1.2238971 ],[ 0.00584781 -0.00988834 -0.01444918 -0.00960356 -0.01528577  0.0159477 ]
5,109,9680.228355499139,[0.17416315 0.16817824 0.17094992 0.16348772 0.15923711 0.16398386],8685.400190552973,[ 1.76008331 -0.00812471 -0.13056995 -0.0894415  -1.33002112  0.79807397],[ 0.00550117 -0.00981547 -0.01572875 -0.00779045 -0.01182289  0.01789068]
6,110,9768.566040428843,[0.16672273 0.16638858 0.16651226 0.16988414 0.17126954 0.15922274],8043.707914533724,[ 1.91873847 -0.12949364 -0.20718583 -0.0993527  -1.48945176  1.00674546],[ 0.00547723 -0.00983012 -0.01667298 -0.00697599 -0.01027056  0.01740062]
7,111,9319.287433586076,[0.17734932 0.16654449 0.16324028 0.17182176 0.16456823 0.15647592],8335.622959789423,[ 1.87975343 -0.1191336  -0.16841272 -0.09430037 -1.25949677  0.76159004],[ 0.00550465 -0.00960932 -0.01714336 -0.00567893 -0.00821185  0.01479402]
8,112,9796.688741063781,[0.15954826 0.17127138 0.15659408 0.16506478 0.16365976 0.18386174],9130.911787100911,[ 1.76047193 -0.11750587 -0.26028133 -0.08964133 -1.18707846  0.89403506],[ 0.00563737 -0.00986731 -0.01835545 -0.00488132 -0.00745168  0.00720097]
9,113,9967.276986940413,[0.16508216 0.16282217 0.16835592 0.16809056 0.16516461 0.17048458],9407.871579547193,[ 1.78763432 -0.13433669 -0.30536692 -0.08929299 -1.16188243  0.90324471],[ 0.00576656 -0.00926576 -0.01940026 -0.0034692  -0.00615528  0.00853041]
